question,location_slug,location_text,time_kind,time_start,time_end,activity_id,group
Lúc này Đà Lạt có đang mưa không?,da-lat,,now,,,,basic
Bây giờ ở Hà Nội nóng không?,ha-noi,,now,,,,basic
Hiện tại Sài Gòn bao nhiêu độ?,ho-chi-minh,,now,,,,basic
Ngày mai Huế có mưa không?,hue,,dates,2026-09-17,2026-09-17,,basic
Cuối tuần này Đà Nẵng trời thế nào?,da-nang,,dates,2026-09-19,2026-09-20,,basic
Tuần sau Hải Phòng có bão không?,hai-phong,,dates,2026-09-21,2026-09-27,,basic
Tháng 12 ở Sa Pa lạnh cỡ nào?,sa-pa,,months,2026-12-01,2026-12-31,,basic
hom nay can tho co mua khong,can-tho,,dates,2026-09-16,2026-09-16,,basic
Chiều nay Nha Trang có nắng không?,nha-trang,,dates,2026-09-16,2026-09-16,,basic
Mấy ngày tới Quy Nhơn thời tiết ra sao?,quy-nhon,,dates,2026-09-17,2026-09-19,,basic
Trời có đang mưa không?,,,now,,,,basic
Tháng sau Vũng Tàu có mưa nhiều không?,vung-tau,,months,2026-10-01,2026-10-31,,basic
Mùa đông ở Hà Giang có tuyết không?,ha-giang,,months,2026-11-01,2027-01-31,,basic
HN hôm nay có mưa không nhỉ?,ha-noi,,dates,2026-09-16,2026-09-16,,basic
Lúc này Côn Đảo có gió to không?,,Côn Đảo,now,,,,basic
Ha Long tuan sau co bao khong?,,Ha Long,dates,2026-09-21,2026-09-27,,basic
SG chiều nay có mưa không?,ho-chi-minh,,dates,2026-09-16,2026-09-16,,basic
BMT tháng 11 có mưa nhiều không?,buon-ma-thuot,,months,2026-11-01,2026-11-30,,basic
Thời tiết Hà Nội thế nào?,ha-noi,,,,,,basic
dalat mua nay co lanh khong,da-lat,,months,2026-09-01,2026-11-30,,basic
Nhiệt độ ở Cao Bằng vào tháng 1 là bao nhiêu?,cao-bang,,months,2027-01-01,2027-01-31,,basic
Tháng này ở Cà Mau mưa nhiều không?,ca-mau,,months,2026-09-01,2026-09-30,,basic
Thanh Hóa ngày kia có mưa to không?,thanh-hoa,,dates,2026-09-18,2026-09-18,,basic
