activity_id,text
,Trời hôm nay có mưa không?
,Nhiệt độ bây giờ là bao nhiêu độ?
,Tuần này có bão không?
,Thời tiết ngày mai thế nào?
,Trời có nóng lắm không?
,Tháng này có lạnh không?
,Độ ẩm hôm nay có cao không?
,Mấy giờ thì tạnh mưa?
,Gió có mạnh không?
,Có sương mù không?
travel,Đi du lịch có hợp không?
travel,Du lịch mùa này có thuận lợi không?
travel,Nên đi chơi xa vào lúc nào?
travel,Đi tham quan có bị mưa không?
travel,Muốn đi nghỉ dưỡng vài ngày thì thời tiết có ổn không?
travel,Đi phượt bằng xe máy có an toàn không?
travel,Cả nhà muốn đi chơi xa dịp nghỉ lễ
travel,Đi du lịch tự túc tháng nào đẹp?
travel,Tôi định đi thăm thành phố vào cuối tuần
travel,Đưa gia đình đi nghỉ mát có ổn không?
travel,Đi tour khám phá núi rừng được không?
travel,Mùa này đi xa vài ngày có hợp không?
travel,Dịp này ghé đó một chuyến có ổn không?
travel,Tháng tới đi một chuyến ra đó có đẹp trời không?
wedding,Tổ chức đám cưới có bị mưa không?
wedding,Làm tiệc cưới ngoài trời có ổn không?
wedding,Chọn ngày cưới đẹp trời
wedding,Lễ ăn hỏi có bị nắng nóng không?
wedding,Tổ chức lễ thành hôn vào tháng nào đẹp?
wedding,Đón dâu có bị mưa không?
wedding,Tiệc cưới sân vườn cần trời khô ráo
wedding,Hai đứa định kết hôn vào cuối năm
wedding,Ngày đại hỷ có nắng đẹp không?
wedding,Đãi tiệc cưới ngoài bãi biển được không?
sports,Đi chạy bộ buổi sáng có ổn không?
sports,Tập thể dục ngoài trời có nóng quá không?
sports,Chạy marathon có bị nắng gắt không?
sports,Đạp xe đường dài có mưa không?
sports,Chơi bóng đá ngoài sân được không?
sports,Đi bộ quanh hồ buổi tối được không?
sports,Chơi cầu lông ngoài trời có gió không?
sports,Tham gia giải chạy có mát không?
sports,Tập yoga ở công viên được không?
sports,Chạy bộ đường núi có trơn không?
photography,Chụp ảnh ngoài trời có đủ nắng không?
photography,Đi săn mây có đẹp không?
photography,Chụp hình hoàng hôn có bị mây che không?
photography,Quay video ngoài trời có mưa không?
photography,Bay flycam có gió to không?
photography,Chụp ảnh ngắm bình minh được không?
photography,Chụp bộ ảnh kỷ niệm ngoài trời
photography,Săn ảnh hoa nở có đẹp không?
photography,Chụp ảnh phong cảnh cần trời trong
photography,Chụp ảnh sống ảo ở đồi chè được không?
beach,Tắm biển có sóng to không?
beach,Đi biển có an toàn không?
beach,Bơi ở bãi biển được không?
beach,Lặn ngắm san hô có đẹp không?
beach,Lướt ván trên biển có gió tốt không?
beach,Ra biển nghịch nước được không?
beach,Chèo thuyền kayak trên biển có ổn không?
beach,Đi câu cá ngoài biển có sóng không?
beach,Nước biển có lạnh không?
beach,Đi tàu ra đảo có say sóng không?
camping,Đi cắm trại có mưa không?
camping,Dã ngoại ngoài trời có ổn không?
camping,Leo núi có an toàn không?
camping,Đi picnic cuối tuần được không?
camping,Trekking đường rừng có trơn không?
camping,Cắm trại qua đêm có lạnh không?
camping,Đốt lửa trại ngoài trời được không?
camping,Chinh phục đỉnh núi có sương mù không?
camping,Đi glamping ven hồ có ổn không?
camping,Cả lớp đi dã ngoại ngoài bãi cỏ
construction,Cất nhà mới cho gia đình
construction,Đào móng công trình nhà phố
construction,Thợ hồ trộn vữa xây tường gạch
construction,Rải nhựa mặt đường liên xã
construction,Dựng khung thép nhà xưởng
construction,Chống thấm sân thượng và mái
construction,Lát gạch sân vườn
construction,Cẩu tháp trên công trường
construction,Ép cọc móng cho tòa nhà
construction,Công nhân làm việc ngoài công trường
outdoor_event,Dựng rạp sân khấu ngoài trời
outdoor_event,Công ty tổ chức hội thao cho nhân viên
outdoor_event,Phiên chợ cuối tuần ở quảng trường
outdoor_event,Chiếu phim ngoài trời cho khán giả
outdoor_event,Lễ khánh thành có đông khách mời
outdoor_event,Tiệc tất niên công ty ngoài sân vườn
outdoor_event,Gian hàng triển lãm ngoài trời
outdoor_event,Đêm nhạc acoustic dưới trời sao
outdoor_event,Ngày hội gia đình của trường học
outdoor_event,Lễ khai giảng ngoài sân trường
