intent,text
find_place,Tháng 12 nên đi biển ở đâu?
find_place,Cuối tuần này đi đâu chơi cho mát?
find_place,Nghỉ lễ 2/9 nên về đâu du lịch?
find_place,Tháng 7 tỉnh nào ít mưa nhất?
find_place,Chỗ nào hợp để cắm trại vào mùa đông?
find_place,Thành phố nào đẹp để tổ chức đám cưới tháng 11?
find_place,Địa điểm nào chụp ảnh đẹp vào tháng 10?
find_place,Vùng nào hợp đi phượt vào tháng 3?
find_place,Mùa hè nơi nào mát mẻ để nghỉ dưỡng?
find_place,Tháng sau miền nào ít bão hơn?
find_place,Gợi ý giúp mình điểm nghỉ mát cho tháng 7
find_place,Nghỉ lễ cả nhà nên dắt nhau đi chơi phương nào
find_place,Tìm giúp tôi một điểm đến ít mưa cho tháng 12
find_place,Tháng 10 có nơi du lịch biển nào đẹp không?
find_place,Đề xuất vài điểm đến ấm áp để trốn lạnh dịp Tết
find_place,Tuần trăng mật tháng 11 nên chọn thành phố biển nào?
find_place,Xếp hạng giúp tôi các điểm du lịch cho tháng 4
find_place,Mùa này đi chơi xa thì chọn hướng nào hợp?
find_place,Cho mình danh sách những nơi thời tiết đẹp vào tháng sau
find_place,Kỳ nghỉ hè nên dẫn con đi tỉnh thành nào cho mát?
find_time,Hôm nay trời có mưa không?
find_time,Nhiệt độ lúc này là bao nhiêu?
find_time,Tuần sau có bão không?
find_time,Ngày mai có cần mang áo mưa không?
find_time,Tháng 12 có lạnh không?
find_time,Mùa này độ ẩm có cao không?
find_time,Chiều nay đi chạy bộ được không?
find_time,Cuối tuần này tổ chức tiệc ngoài trời có ổn không?
find_time,Mai phơi chăn có khô không?
find_time,Tối nay ngồi cà phê ngoài trời có lạnh không?
find_time,Tháng sau chụp ảnh cưới ngoài trời có bị mưa không?
find_time,Cuối tuần cắm trại có mưa không?
find_time,Tháng mấy tổ chức đám cưới là đẹp nhất?
find_time,Khi nào thì nên đi tắm biển?
find_time,Nên chọn dịp nào để chạy marathon?
find_time,Tháng 12 ra Côn Đảo chơi có lạnh không?
find_time,Cuối tuần đi Cát Bà có mưa không?
find_time,Tháng 11 lên Y Tý săn mây có đẹp không?
find_time,Đi Lý Sơn vào tháng 4 có hợp không?
find_time,Tuần sau ra Cô Tô tắm biển có sóng to không?
find_time,Mùa hè đi Pù Luông nghỉ dưỡng có nóng không?
find_time,Tháng 2 lên Bắc Hà ngắm hoa mận được không?
find_time,Chuyến đi Châu Đốc tháng 9 có bị ngập không?
find_time,Leo núi Bạch Mộc Lương Tử vào tháng 10 có ổn không?
find_time,Đi chơi Hồ Tràm cuối tuần này có nắng không?
find_time,Đi Măng Đen có hợp không?
