question,location_slug,location_text,time_kind,time_start,time_end,activity_id,intent,group
Lúc này Đà Lạt có đang mưa không?,da-lat,,now,,,,find_time,basic
Bây giờ ở Hà Nội nóng không?,ha-noi,,now,,,,find_time,basic
Hiện tại Sài Gòn bao nhiêu độ?,ho-chi-minh,,now,,,,find_time,basic
Ngày mai Huế có mưa không?,hue,,dates,2026-09-17,2026-09-17,,find_time,basic
Cuối tuần này Đà Nẵng trời thế nào?,da-nang,,dates,2026-09-19,2026-09-20,,find_time,basic
Tuần sau Hải Phòng có bão không?,hai-phong,,dates,2026-09-21,2026-09-27,,find_time,basic
Tháng 12 ở Sa Pa lạnh cỡ nào?,sa-pa,,months,2026-12-01,2026-12-31,,find_time,basic
hom nay can tho co mua khong,can-tho,,dates,2026-09-16,2026-09-16,,find_time,basic
Chiều nay Nha Trang có nắng không?,nha-trang,,dates,2026-09-16,2026-09-16,,find_time,basic
Mấy ngày tới Quy Nhơn thời tiết ra sao?,quy-nhon,,dates,2026-09-17,2026-09-19,,find_time,basic
Trời có đang mưa không?,,,now,,,,find_time,basic
Tháng sau Vũng Tàu có mưa nhiều không?,vung-tau,,months,2026-10-01,2026-10-31,,find_time,basic
Mùa đông ở Hà Giang có tuyết không?,ha-giang,,months,2026-11-01,2027-01-31,,find_time,basic
HN hôm nay có mưa không nhỉ?,ha-noi,,dates,2026-09-16,2026-09-16,,find_time,basic
Lúc này Côn Đảo có gió to không?,,Côn Đảo,now,,,,find_time,basic
Ha Long tuan sau co bao khong?,,Ha Long,dates,2026-09-21,2026-09-27,,find_time,basic
SG chiều nay có mưa không?,ho-chi-minh,,dates,2026-09-16,2026-09-16,,find_time,basic
BMT tháng 11 có mưa nhiều không?,buon-ma-thuot,,months,2026-11-01,2026-11-30,,find_time,basic
Thời tiết Hà Nội thế nào?,ha-noi,,,,,,find_time,basic
dalat mua nay co lanh khong,da-lat,,months,2026-09-01,2026-11-30,,find_time,basic
Nhiệt độ ở Cao Bằng vào tháng 1 là bao nhiêu?,cao-bang,,months,2027-01-01,2027-01-31,,find_time,basic
Tháng này ở Cà Mau mưa nhiều không?,ca-mau,,months,2026-09-01,2026-09-30,,find_time,basic
Thanh Hóa ngày kia có mưa to không?,thanh-hoa,,dates,2026-09-18,2026-09-18,,find_time,basic
Mùa nào ở Phú Quốc ít mưa nhất?,phu-quoc,,best_time,,,,find_time,basic
Hôm nay Hà Tiên có mưa không?,,Hà Tiên,dates,2026-09-16,2026-09-16,,find_time,basic
TPHCM tuần này có mưa nhiều không?,ho-chi-minh,,dates,2026-09-16,2026-09-20,,find_time,basic
Khoảng 3 ngày tới Đà Nẵng có mưa không?,da-nang,,dates,2026-09-17,2026-09-19,,find_time,basic
Tháng mười hai ở Sa Pa có băng giá không?,sa-pa,,months,2026-12-01,2026-12-31,,find_time,basic
cuoi tuan nay vung tau co mua khong,vung-tau,,dates,2026-09-19,2026-09-20,,find_time,basic
Mùa này đi Phú Quốc có hợp không?,phu-quoc,,months,2026-09-01,2026-11-30,travel,find_time,basic
"Sang tháng sau tôi muốn đi du lịch, tỉnh nào có thời tiết phù hợp nhất?",,,months,2026-10-01,2026-10-31,travel,find_place,basic
Tháng mấy đi Đà Lạt là đẹp nhất?,da-lat,,best_time,,,travel,find_time,basic
Cuối tuần này đi Vũng Tàu chơi được không?,vung-tau,,dates,2026-09-19,2026-09-20,travel,find_time,basic
Tuần sau đi Hội An tham quan có bị mưa không?,hoi-an,,dates,2026-09-21,2026-09-27,travel,find_time,basic
Khi nào nên đi du lịch Sa Pa?,sa-pa,,best_time,,,travel,find_time,basic
Tháng 10 đi Huế có ổn không?,hue,,months,2026-10-01,2026-10-31,travel,find_time,basic
thang 12 di da lat choi co lanh lam khong,da-lat,,months,2026-12-01,2026-12-31,travel,find_time,basic
"Năm sau tôi muốn đi nghỉ dưỡng ở Nha Trang, nên đi tháng nào?",nha-trang,,best_time,2027-01-01,2027-12-31,travel,find_time,basic
Mùa hè đi Quảng Bình khám phá hang động có hợp không?,quang-binh,,months,2027-05-01,2027-07-31,travel,find_time,basic
Đi phượt Hà Giang tháng mấy đẹp?,ha-giang,,best_time,,,travel,find_time,basic
"Mình định đi Mũi Né tháng sau, thời tiết có ổn không?",,Mũi Né,months,2026-10-01,2026-10-31,travel,find_time,basic
Du lịch Cát Bà vào tháng 7 thế nào?,,Cát Bà,months,2027-07-01,2027-07-31,travel,find_time,basic
Tuần trăng mật ở Phú Quốc tháng 11 có đẹp không?,phu-quoc,,months,2026-11-01,2026-11-30,travel,find_time,basic
Cuối tuần sau đi Tam Đảo có lạnh không?,tam-dao,,dates,2026-09-26,2026-09-27,travel,find_time,basic
Đi Mộc Châu mùa nào đẹp nhất?,moc-chau,,best_time,,,travel,find_time,basic
Bây giờ đi Ninh Bình tham quan có nắng quá không?,ninh-binh,,now,,,travel,find_time,basic
Mùa xuân đi Điện Biên ngắm hoa ban có hợp không?,dien-bien,,months,2027-02-01,2027-04-30,travel,find_time,basic
Tháng 3 đi Buôn Ma Thuột được không?,buon-ma-thuot,,months,2027-03-01,2027-03-31,travel,find_time,basic
ĐL tháng này đi chơi được không?,da-lat,,months,2026-09-01,2026-09-30,travel,find_time,basic
Đi Phú Quốc có hợp không?,phu-quoc,,,,,travel,find_time,basic
Đám cưới tháng mấy thì đẹp nhất?,,,best_time,,,wedding,find_time,basic
"Năm sau tôi tổ chức đám cưới ở TP.HCM, khoảng thời gian nào tốt nhất?",ho-chi-minh,,best_time,2027-01-01,2027-12-31,wedding,find_time,basic
Tổ chức tiệc cưới ngoài trời ở Đà Nẵng vào tháng 12 có ổn không?,da-nang,,months,2026-12-01,2026-12-31,wedding,find_time,basic
Tháng 11 cưới ở Hà Nội có bị mưa không?,ha-noi,,months,2026-11-01,2026-11-30,wedding,find_time,basic
Lễ ăn hỏi ở Nam Định tuần sau có mưa không?,nam-dinh,,dates,2026-09-21,2026-09-27,wedding,find_time,basic
Nên chọn tháng nào để làm đám cưới ở Cần Thơ?,can-tho,,best_time,,,wedding,find_time,basic
Rước dâu vào ngày mai ở Thái Bình có bị mưa không?,thai-binh,,dates,2026-09-17,2026-09-17,wedding,find_time,basic
dam cuoi o ha noi thang 10 co dep khong,ha-noi,,months,2026-10-01,2026-10-31,wedding,find_time,basic
Tiệc cưới sân vườn cuối tuần này ở Biên Hòa có ổn không?,bien-hoa,,dates,2026-09-19,2026-09-20,wedding,find_time,basic
Kết hôn vào mùa thu ở Hà Nội có đẹp không?,ha-noi,,months,2026-08-01,2026-10-31,wedding,find_time,basic
Đám hỏi tháng sau ở Huế liệu có mưa to không?,hue,,months,2026-10-01,2026-10-31,wedding,find_time,basic
"Tôi muốn cưới ở Hạ Long vào tháng 5, thời tiết thế nào?",,Hạ Long,months,2027-05-01,2027-05-31,wedding,find_time,basic
Tổ chức lễ cưới vào 20/10 ở Hải Dương được không?,hai-duong,,dates,2026-10-20,2026-10-20,wedding,find_time,basic
Mùa này làm đám cưới có bị mưa nhiều không?,,,months,2026-09-01,2026-11-30,wedding,find_time,basic
Sáng mai chạy bộ ở Hà Nội được không?,ha-noi,,dates,2026-09-17,2026-09-17,running,find_time,basic
Hôm nay có nên đi chạy bộ ở công viên không?,,,dates,2026-09-16,2026-09-16,running,find_time,basic
Tuần sau ngày nào chạy bộ ở Đà Nẵng hợp nhất?,da-nang,,best_time,2026-09-21,2026-09-27,running,find_time,basic
Tháng 12 chạy marathon ở Đà Lạt có lạnh quá không?,da-lat,,months,2026-12-01,2026-12-31,running,find_time,basic
Lúc này ra ngoài chạy bộ ở Sài Gòn có nóng không?,ho-chi-minh,,now,,,running,find_time,basic
Cuối tuần đạp xe ở Ninh Bình có mưa không?,ninh-binh,,dates,2026-09-19,2026-09-20,running,find_time,basic
chieu nay chay bo o hue duoc khong,hue,,dates,2026-09-16,2026-09-16,running,find_time,basic
Mấy ngày tới đi bộ tập thể dục buổi sáng ở Vinh được không?,vinh,,dates,2026-09-17,2026-09-19,running,find_time,basic
Tháng mấy chạy giải ở Quy Nhơn là mát nhất?,quy-nhon,,best_time,,,running,find_time,basic
Bây giờ đá bóng ngoài trời có ổn không?,,,now,,,running,find_time,basic
Tháng 3 chạy trail ở Sa Pa có hợp không?,sa-pa,,months,2027-03-01,2027-03-31,running,find_time,basic
Sáng nay tập thể dục ngoài trời ở Hải Phòng có ổn không?,hai-phong,,dates,2026-09-16,2026-09-16,running,find_time,basic
Mai lên Tam Đảo săn mây được không?,tam-dao,,dates,2026-09-17,2026-09-17,photography,find_time,basic
Chụp ảnh hoàng hôn ở Phú Quốc tháng nào đẹp nhất?,phu-quoc,,best_time,,,photography,find_time,basic
Chiều nay chụp hình ngoài trời ở Hội An có bị mưa không?,hoi-an,,dates,2026-09-16,2026-09-16,photography,find_time,basic
Tháng 11 đi Mộc Châu chụp ảnh hoa cải được không?,moc-chau,,months,2026-11-01,2026-11-30,photography,find_time,basic
Cuối tuần này bay flycam ở Ninh Thuận có gió to không?,ninh-thuan,,dates,2026-09-19,2026-09-20,photography,find_time,basic
